Hanger,Aircraft,Status
H1,SU-A001,Occupied
H2,SU-A002,Empty
H3,SU-A003,Occupied
H4,SU-A004,Empty
H6,SU-A006,Empty
H7,SU-A007,Empty
H8,SU-A008,Occupied
H9,SU-A009,Empty
H10,SU-A010,Occupied
H11,SU-A011,Empty
H12,SU-A012,Occupied
H13,SU-A013,Empty
H14,SU-A014,Empty
H15,SU-A015,Occupied
H16,SU-A016,Empty
H17,SU-A017,Occupied
H18,SU-A018,Empty
H19,SU-A019,Occupied
H20,SU-A020,Empty
H21,SU-A021,Empty
H22,SU-A022,Occupied
H23,SU-A023,Empty
H24,SU-A024,Occupied
H25,SU-A025,Empty
H26,SU-A026,Occupied
H27,SU-A027,Empty
H28,SU-A028,Empty
H29,SU-A029,Occupied
H30,SU-A030,Empty

















